Calibrando IMU...
IMU lista
Calibrando sensores...
Sensores listos
Sistema listo
t,row,roll,pitch,yaw,i_arduino,i_servos
49898,641,81.42,1.33,11.03,0.06,0.76
49950,643,81.42,1.33,11.03,0.11,1.98
50002,644,81.42,1.33,11.03,0.06,2.96
50054,646,81.42,1.33,11.03,0.16,1.37
50106,647,81.42,1.33,11.03,0.11,3.08
50158,649,81.42,1.33,11.03,-0.14,2.35
50210,650,81.42,1.33,11.03,0.06,3.45
50262,652,81.42,1.33,11.03,0.16,1.25
50314,653,81.42,1.33,11.03,0.20,1.98
50366,655,81.42,1.33,11.03,-0.04,3.93
50418,656,81.42,1.33,11.03,0.16,1.25
50470,658,81.42,1.33,11.03,-0.09,1.25
50522,659,81.42,1.33,11.03,0.11,3.93
50574,661,81.42,1.33,11.03,0.01,2.96
50626,662,81.42,1.33,11.03,0.06,5.77
